id,case_name,pdf_url,saved_file,original_filename
J00033,First Appeal 17/2012(First Appeal 17/2012),https://supremecourt.gov.bd/resources/documents/428959_F_A_No_17_2012.pdf,J00033.pdf,428959_F_A_No_17_2012.pdf
J00034,Criminal Appeal(H) (TN) 10561/2019(Criminal Appeal No. 10561/2019),https://supremecourt.gov.bd/resources/documents/1_CriminalAppealNo.10561of2019(Allowed)(04.08.2026).pdf,J00034.pdf,1_CriminalAppealNo.10561of2019(Allowed)(04.08.2026).pdf
J00035,Criminal Appeal(H) (TN) 9039/2023(Criminal Appeal No. 9039/2023),https://supremecourt.gov.bd/resources/documents/1_CriminalAppealNo.9039of2023(Dismissed)(10.06.2026).pdf,J00035.pdf,1_CriminalAppealNo.9039of2023(Dismissed)(10.06.2026).pdf
J00036,Civil Revision 1772/2021(Civil Revision 1772/2021),https://supremecourt.gov.bd/resources/documents/2304414_C.R._No._1772_of_2021.pdf,J00036.pdf,2304414_C.R._No._1772_of_2021.pdf
J00037,First Appeal 209/2011(First Appeal 209/2011),https://supremecourt.gov.bd/resources/documents/353093_FIRST_APPEAL_209_of_2011_ALLOWED_.pdf,J00037.pdf,353093_FIRST_APPEAL_209_of_2011_ALLOWED_.pdf
J00038,First Misc Appeal 339/2018(.../),https://supremecourt.gov.bd/resources/documents/1453964_F.A.No.339of2018.pdf,J00038.pdf,1453964_F.A.No.339of2018.pdf
J00039,Civil Revision 2326/2021(Civil Revision 2326/2021),https://supremecourt.gov.bd/resources/documents/2014404_CivilRevision_2326of2021.pdf,J00039.pdf,2014404_CivilRevision_2326of2021.pdf
J00040,Criminal Revision 1935/2026(Criminal Revision 1935/2026),https://supremecourt.gov.bd/resources/documents/3645860_Crl.Rev.1935_2026.pdf,J00040.pdf,3645860_Crl.Rev.1935_2026.pdf
J00041,Writ Petition 13465/2019(Writ Petition 13465/2019),https://supremecourt.gov.bd/resources/documents/1908531_W.P._No._13465_of_2019.pdf,J00041.pdf,1908531_W.P._No._13465_of_2019.pdf
J00042,Company Matter 607/2026(Company Matter 607/2026),https://supremecourt.gov.bd/resources/documents/3607936_CompanyMatterNo.607of2026.pdf,J00042.pdf,3607936_CompanyMatterNo.607of2026.pdf
J00043,Arbitration Application 14/2023(Arbitration Application 14/2023),https://supremecourt.gov.bd/resources/documents/2523321_ArbitrationApplication14of2023.pdf,J00043.pdf,2523321_ArbitrationApplication14of2023.pdf
J00044,Company Matter 125/2016(Company Matter 125/2016),https://supremecourt.gov.bd/resources/documents/1014451_CompanyMatterNo.125of2016.pdf,J00044.pdf,1014451_CompanyMatterNo.125of2016.pdf
J00045,Criminal Revision 2571/2025(Criminal Revision 2571/2025),https://supremecourt.gov.bd/resources/documents/3333168_Crl.Rev.No.2571of2025.pdf,J00045.pdf,3333168_Crl.Rev.No.2571of2025.pdf
J00046,Writ Petition 563/2025(Writ Petition 563/2025),https://supremecourt.gov.bd/resources/documents/3166275_W_P_No_563of2025.pdf,J00046.pdf,3166275_W_P_No_563of2025.pdf
J00047,Writ Petition 4920/2025(Writ Petition 4920/2025),https://supremecourt.gov.bd/resources/documents/3203041_W_P_No_4920of2025.pdf,J00047.pdf,3203041_W_P_No_4920of2025.pdf
J00048,Writ Petition 13988/2023(Writ Petition 13988/2023),https://supremecourt.gov.bd/resources/documents/2780469_W_P_No_13988of2023.pdf,J00048.pdf,2780469_W_P_No_13988of2023.pdf
J00049,First Appeal 178/2009(First Appeal 178/2009),https://supremecourt.gov.bd/resources/documents/15260_First_Appeal178of2009Allowed_dt03.08.2026.pdf,J00049.pdf,15260_First_Appeal178of2009Allowed_dt03.08.2026.pdf
J00050,Writ Petition 11839/2017(WP_11839_2017),https://supremecourt.gov.bd/resources/documents/1213519_WP_11839_2017.pdf,J00050.pdf,1213519_WP_11839_2017.pdf
